label,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
2025-113,10.58999971,10.80479994,7.682800665,251.4640632,313.4384053,1.406362135,1.246454071,0.887380066,0.942193524
2025-114,11.53789982,8.23720023,8.532999456,263.0936455,358.2873937,1.40070649,1.361824582,0.927245607,0.969595818
2025-115,12.42359988,14.78290036,9.197399765,376.5290559,537.0078257,1.607291272,1.426205541,0.848540754,0.869646136
2025-116,5.620600097,6.550799869,6.098199636,110.2816046,100.9381782,1.165498302,0.915276656,0.950644244,0.979110282
2025-117,5.23880003,5.249899998,5.737200379,86.45981702,70.23569611,1.095136357,0.812350737,0.952156653,0.987717175
2025-118,3.197200038,3.353299946,3.490800411,35.82568359,18.78077742,1.091830467,0.524226631,0.953744432,0.970840417
2025-119,3.445000015,3.066400066,3.51369977,34.88264682,18.43809905,1.14587128,0.528575115,0.967576821,0.977851357
2025-120,6.344799884,9.195899963,8.175200224,180.2893966,201.7362127,1.449360127,1.118957723,0.922648999,0.944453948
2025-121,11.2137001,13.56920004,6.947300211,278.718745,336.7637793,1.953161606,1.208256658,0.839849619,0.874199132
2025-122,7.73130022,6.014000066,10.52690037,202.5146463,238.7262284,1.750399111,1.178809695,0.918955422,0.962038731
2025-123,9.264500067,8.448199928,8.949499577,235.3634239,311.3661945,1.09662415,1.32291666,0.943900299,0.970896227
2025-124,9.655600041,13.35080005,9.135700017,329.5217442,471.1265868,1.461387746,1.429728372,0.888570292,0.954214867
2025-125,6.868800148,6.009300053,14.80819918,259.8516334,299.6749012,2.464213644,1.153253868,0.83341041,0.899475955
2025-126,7.561800256,7.59709999,9.387500584,190.134547,209.9915218,1.241437259,1.104436437,0.898581757,0.903066149
2025-127,6.935799867,5.738900043,8.256199956,142.4571703,142.2598187,1.438638048,0.99861466,0.925098503,0.950073029
2025-128,4.43900004,4.664400034,4.715999961,68.75649961,49.79777421,1.062401423,0.72426279,0.952014698,0.968480228
2025-129,3.406600095,4.030300118,4.813099653,52.05123345,32.44182141,1.412874866,0.623267102,0.945053914,0.973537865
2025-130,5.270499922,6.792300195,5.095399916,89.52735761,54.60624357,1.333025927,0.609939185,0.777481193,0.78055157
2025-131,11.51780002,9.369399771,14.04949948,416.7628556,577.1745114,1.499509021,1.384899119,0.804389789,0.82375927
2025-132,8.147399873,7.843699865,16.67610034,352.1927799,480.5311476,2.126050286,1.364398065,0.842399379,0.881979315
2025-133,12.06829958,6.240200065,7.48969987,222.376226,265.1860609,1.933960362,1.192510844,0.897627668,0.94998117
2025-134,10.15410013,8.478400111,7.95770064,224.0638456,265.4972781,1.276009314,1.184917975,0.89156372,0.956968355
2025-135,13.83339986,12.71080002,8.725200593,341.6651682,457.3521816,1.585453505,1.338597622,0.840202408,0.88840502
2025-136,9.285700321,7.735500112,8.270499483,204.2898169,241.4406614,1.200400774,1.181853629,0.917862613,0.970100061
2025-137,4.545900039,3.565599956,4.071499407,45.15074115,22.82972266,1.274932717,0.505633398,0.86195845,0.864561451
2025-138,4.114799947,3.91379986,4.057300091,52.53055998,33.63540433,1.051356762,0.640301652,0.959260428,0.973361378
2025-139,5.449099839,4.628900066,5.7237003,84.60101361,69.89846578,1.236514122,0.826213101,0.969959618,0.984156008
2025-140,6.340500154,7.263199985,6.482499838,133.4751785,130.1191668,1.145524771,0.97485666,0.930345932,0.935014536
2025-141,9.87999998,9.033600241,7.68429935,227.1228519,287.6915323,1.28573856,1.266678055,0.927914607,0.957967649
2025-142,10.85390002,15.56169987,7.164200395,325.9979478,431.5765435,2.172147485,1.323862762,0.847177631,0.928059668
2025-143,5.717600137,7.417899929,5.385600403,100.2160192,71.49390549,1.377358024,0.713397978,0.831239791,0.825876062
2025-144,10.68389975,9.810899943,8.32439959,264.0075382,357.1779021,1.283443884,1.352907968,0.922127241,0.970718312
2025-145,10.09440012,9.365199879,12.53820062,291.5759292,371.8278321,1.338807583,1.275235007,0.857617667,0.89131913
2025-146,3.99689991,3.967699967,4.37580049,53.9849575,35.62852676,1.102855691,0.659971377,0.969936428,0.985499713
2025-147,3.239199985,3.060599975,3.836899996,35.09747511,18.49545538,1.253643085,0.526973958,0.963647655,0.979186315
2025-148,3.32240006,3.353499994,3.522200137,37.71263257,20.90482251,1.060137273,0.554318834,0.973109243,0.980329341
2025-149,3.264599852,3.324400075,4.331900179,41.3162935,23.51843303,1.326931439,0.569229014,0.960804494,0.983452368
2025-150,7.445799932,12.10259981,7.765199617,240.0511481,290.0296563,1.625426405,1.208199413,0.882690818,0.918417706
2025-151,6.092500128,9.211000055,8.232100308,183.4409686,207.7700104,1.51185882,1.132625999,0.924789799,0.967644319
2025-152,7.223599777,7.94389993,8.461200446,193.6567559,234.8453209,1.171327414,1.212688501,0.950545142,0.975739982
2025-153,7.155999914,5.814100057,6.674800068,140.6776004,149.3881557,1.230800957,1.061918567,0.967839367,0.985371517
2025-154,6.702599674,5.301699974,7.019599155,122.7120085,120.7832362,1.324027989,0.984282123,0.962945042,0.984609676
2025-155,6.745200232,6.655599922,6.812000275,142.6351547,152.1031421,1.023499062,1.066379059,0.966087221,0.981748119
2025-156,4.538600147,4.522100091,3.966599703,57.24300767,38.75657983,1.144204227,0.67705352,0.967517086,0.989997912
2025-157,3.597100079,3.308399953,3.761000186,37.92617447,21.06005482,1.136803361,0.555290775,0.97241448,0.984230279
2025-158,3.706199862,3.661900014,3.745700046,40.55606593,22.73179562,1.022884304,0.560502975,0.956865286,0.972234905
2025-159,4.467700049,4.317000136,4.514499754,60.91534111,42.88364185,1.045749273,0.703987552,0.972639458,0.982063508
2025-160,7.660400122,9.692399949,9.429299831,256.2367606,361.1549918,1.265260273,1.409458155,0.957131855,0.981548707
2025-161,8.208500221,7.707400247,8.068199828,196.4332954,239.3647814,1.065015434,1.218555036,0.949093916,0.981781727
2025-162,8.703000098,8.266700059,7.636000961,206.4496983,260.8838516,1.139732714,1.263667875,0.956389216,0.98426418
2025-163,9.583200142,8.090399951,7.071199641,214.9364888,268.8950021,1.355243895,1.251043988,0.937337073,0.971535378
2025-164,5.82320001,5.271900073,6.005699933,105.5077829,96.51981077,1.139190776,0.914812236,0.964444562,0.97888676
2025-165,5.597400106,5.535900034,6.385200098,104.8452374,95.89592013,1.153416799,0.914642596,0.966352343,0.987121356
2025-166,6.324099936,5.259799957,4.893700033,89.30400105,74.05079501,1.292294152,0.829199074,0.954918612,0.984287782
2025-167,3.352800012,3.269000072,3.406000137,35.01139673,18.76209256,1.04190886,0.535885292,0.975278995,0.98303605
2025-168,4.413300008,4.298900068,3.9965,54.45458012,36.19198622,1.104291257,0.664627037,0.971683115,0.985186712
2025-169,3.639799915,3.566799965,4.060599953,44.54112302,26.64387706,1.138443421,0.598186019,0.968548209,0.980225213
2025-170,8.332400024,6.419499964,10.45409963,204.1255813,242.1725958,1.628491266,1.186390232,0.920456681,0.979120844
2025-171,8.837099746,6.901599839,7.306299731,187.0841447,219.2014247,1.280442209,1.171672913,0.939743629,0.976215911
2025-172,9.362499788,7.285400108,8.355399966,208.68123,259.3658836,1.285104407,1.24288075,0.942488304,0.977425757
2025-173,6.870499998,11.9451005,7.684500515,239.1286044,302.5959251,1.738607162,1.265410827,0.911509737,0.972348943
2025-174,9.933299944,6.083099917,6.789299473,178.0366866,200.6763135,1.632933879,1.127162707,0.931047913,0.977134999
2025-175,5.864999816,5.465000123,6.238800287,108.4487539,101.1935044,1.141591976,0.933099743,0.968340246,0.982059042
2025-176,5.447199941,4.531200044,5.19990027,78.96042511,63.07096656,1.20215393,0.798766806,0.970422754,0.983810164
2025-177,3.053300083,3.480100073,3.63920033,36.55031649,19.45888739,1.191890817,0.53238629,0.95720506,0.974464793
2025-178,3.88289988,3.572200052,3.572899848,42.39297713,24.92341884,1.086977163,0.58791386,0.973334129,0.982722986
2025-179,4.009900056,3.695200011,3.858200088,45.44513151,27.65876064,1.08516455,0.608618783,0.973236909,0.984171208
2025-180,6.653399765,8.548500016,7.902599499,182.7438419,216.9713461,1.284831863,1.187297716,0.955526998,0.983610169
2025-181,10.94890013,7.413799688,8.784100786,243.6478853,333.0198016,1.476827078,1.366807683,0.953604262,0.982278646
2025-182,7.837100327,8.611699939,7.565800101,191.6880913,230.578029,1.13824048,1.202881345,0.948638923,0.979228783
2025-183,6.219499931,11.12979986,7.184200361,205.6697407,243.9884027,1.789500761,1.186311617,0.918106749,0.977744145
2025-184,6.948800012,6.732399762,6.999699771,144.7105958,154.4508484,1.039703526,1.067308496,0.962004991,0.983366011
2025-185,5.760399997,6.299199723,6.698499992,122.8071267,122.3125455,1.162853273,0.9959727,0.970304154,0.986652029
2025-186,6.441199966,6.882200204,6.978499517,139.0672675,146.633647,1.083416064,1.054408055,0.966974365,0.983475019
2025-187,6.028999761,7.075300068,6.527199969,135.2937011,142.5930006,1.173544593,1.053951511,0.975600511,0.988766147
2025-188,3.169200104,3.279800061,3.270799667,33.49479097,17.62370489,1.034898382,0.526162558,0.977773646,0.985580474
2025-189,3.465300053,3.606200032,3.547099978,39.19756187,22.02059185,1.040660253,0.561784734,0.969269161,0.980337859
2025-190,9.680499882,5.265199952,7.539599761,178.096851,197.6761653,1.838581625,1.10993633,0.921433694,0.977117035
2025-191,10.2059003,7.682800293,8.221100643,217.4475646,272.9116701,1.328408901,1.255068874,0.935716558,0.979401815
2025-192,8.327800035,7.632600144,10.60580052,232.5865911,302.1579116,1.389539649,1.299120084,0.93624339,0.977056313
2025-193,8.158599958,9.812900051,7.579199225,218.5174077,276.001923,1.294714621,1.263066068,0.938151167,0.979741765
2025-194,8.528099954,6.3047003,7.712000608,180.4231515,212.7832123,1.35265747,1.179356477,0.955322707,0.979963841
2025-195,6.13470003,6.783599965,7.775399834,152.0700629,166.281323,1.267445808,1.093452056,0.961618285,0.981610352
2025-196,5.663399957,6.439900026,6.033600122,113.6341241,107.737147,1.137108464,0.948105579,0.963575324,0.981285729
2025-197,4.91600018,4.522899911,3.954099864,56.03367242,35.70283158,1.243266571,0.637167439,0.935772213,0.974764244
2025-198,3.861800022,3.425900079,3.783500195,43.8776911,26.22003669,1.127236619,0.597571021,0.972738014,0.984790227
2025-199,3.503399901,3.357600048,3.454200178,37.81704188,20.41549332,1.04342383,0.539849029,0.955219448,0.970511684
2025-200,8.533500135,6.359100156,6.878600642,160.3920271,176.0101557,1.341935168,1.097374719,0.946948804,0.983077164
2025-201,11.48490012,6.934499741,8.188000694,244.6225818,315.7179417,1.656197353,1.290632857,0.916615269,0.970879545
2025-202,7.131100073,11.3398999,7.599799335,237.2125219,298.5606844,1.590203444,1.258621096,0.910685158,0.961437046
2025-203,7.98939988,6.951900013,7.72549957,174.53093,200.1314679,1.149239757,1.146681954,0.94802977,0.977380879
2025-204,7.488700002,7.23669976,7.032999769,163.3667332,181.2249903,1.064794575,1.109313914,0.947980106,0.977825315
2025-205,6.575399823,6.668699905,6.99819997,139.5158975,144.0544041,1.064300295,1.032530391,0.952528812,0.971709472
2025-206,6.075900048,5.082600005,5.6451004,96.57999456,85.70538646,1.19543148,0.887403099,0.973349984,0.987115833
2025-207,3.530200105,3.725299984,3.72469984,40.89108105,23.61554367,1.055265955,0.577523095,0.973466097,0.978458785
2025-208,3.901100066,4.118400067,4.700300097,57.76005704,39.1898248,1.204865299,0.678493527,0.965988729,0.98223297
