label,group_id,bucket_id,pin_id,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
R12-2,1,12,2,4.976999945938587,4.7652000561356544,6.7705996334552765,97.761719228149,85.9581515612371,1.4208426831392895,0.8792618648679283,0.9634740145562156,0.9865111890498413
R12-3,1,12,3,6.456599943339825,7.809599861502647,9.490399807691574,189.53175412096505,221.384277346018,1.4698757691315851,1.168059032497128,0.9337558274916681,0.975198978451472
R12-4,1,12,4,6.489899754524231,5.740500055253506,8.248799294233322,145.19027614293455,155.86876340660652,1.4369478642691256,1.073548226144011,0.964686023646809,0.9920183482646998
R12-5,1,12,5,7.035700045526028,6.785799749195576,8.990100026130676,178.8399677772024,215.29849433326643,1.3248401600999808,1.2038611782880873,0.9713599726543258,0.9914315922979309
R12-6,1,12,6,7.66419991850853,7.122799940407276,12.116699293255806,238.66553317370665,313.99909173779145,1.701114645171823,1.3156449008883708,0.9360808213141772,0.9844241998265537
R12-7,1,12,7,6.922000087797642,7.041000202298164,10.238800197839737,193.8391438929572,234.0710385953697,1.4791678803773889,1.2075529941704115,0.9475622770006711,0.9885159114053615
R12-8,1,12,8,8.113699965178967,8.450600132346153,11.059600114822388,254.71657690635544,356.52783920740234,1.3630772843814964,1.3997041085334505,0.9546024533555156,0.9841277075444005
R12-9,1,12,9,7.076399773359299,6.243500113487244,8.406399190425873,169.84465240780395,197.3593553089776,1.346424127112022,1.1619992299499058,0.9651705430489473,0.9889322452496492
R12-10,1,12,10,4.681199975311756,4.968699999153614,6.120799481868744,89.78848987183801,77.0463310350508,1.3075278804898982,0.8580869457212715,0.9752098938529592,0.9888484354479872
R13-1,1,13,1,5.0704000517725945,5.288599990308285,6.613399833440781,102.9400783957543,86.07779348213379,1.304315195233709,0.836193199224181,0.9158556880410779,0.9428735381819892
