label,year,group_id,bucket_id,pin_id,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
3R6-6,2023,3,6,6,8.100300095975399,7.327700033783913,9.593599662184715,213.2695012654695,257.6821606220259,1.3092238516797918,1.2082466508011065,0.918216177390023,0.9516723865239676
3R6-7,2023,3,6,7,7.852600142359734,7.563100010156631,9.181300550699234,202.82059155039784,251.2374222153636,1.2139599553581852,1.2387175300834037,0.9493542492158984,0.9790531889875256
3R6-8,2023,3,6,8,6.702999770641327,7.185899838805199,11.4206001162529,216.2408471445773,268.5775354895071,1.7038043423892588,1.2420296120553849,0.9309496220889414,0.9845138452736816
3R6-9,2023,3,6,9,7.095500081777573,7.033499889075756,10.723499208688736,223.94907580393823,287.26095186006705,1.524632029261021,1.2827065743801362,0.9401256748316854,0.9873422585083108
3R6-10,2023,3,6,10,5.5208999663591385,6.257699802517891,7.597299665212631,127.32589164544012,129.62008259324767,1.376098047692542,1.018018259429874,0.9727821528632218,0.9919300432026084
3R7-1,2023,3,7,1,7.958000153303146,7.016299851238728,11.26440055668354,243.2372657232452,299.4302524743852,1.60546168144379,1.231021289373793,0.8898520310532647,0.9257526178771014
3R7-2,2023,3,7,2,6.156999804079533,6.147200055420399,8.860599249601364,154.0097664151395,168.42477126725697,1.4414040814872096,1.09359799178749,0.957649324062504,0.9918725847661491
3R7-3,2023,3,7,3,6.551400199532509,7.697200030088425,11.43769957125187,229.58416211790052,295.8981680214304,1.745840465076158,1.2888439920758776,0.9353418874309992,0.9844401804737336
3R7-4,2023,3,7,4,5.005400069057941,4.779000021517277,5.988600105047226,86.71437133779351,71.46086912080698,1.253107360971703,0.8240948762971835,0.9603699750547936,0.9800040116506092
3R7-5,2023,3,7,5,6.176599860191345,6.123399920761585,7.791099697351456,140.74879404713838,150.39353386192036,1.27234866220896,1.0685244934429197,0.9716851185987484,0.9933825351699874
3R7-6,2023,3,7,6,6.629100069403648,6.664900109171867,9.890799596905708,181.20118225984555,210.9754442997784,1.4920274989596711,1.1643160473270866,0.9458255413511212,0.9832203987138478
3R7-7,2023,3,7,7,5.309499986469746,4.7605000436306,5.764899775385857,88.21833035444445,73.85209282187745,1.210986182659343,0.8371513326669617,0.9649404119075536,0.9851836507852516
3R7-8,2023,3,7,8,5.372200161218643,4.867599904537201,7.756399363279343,113.46490428482409,105.31845755248528,1.593475124372779,0.9282029383121916,0.950514836329499,0.9913878177553104
